movie_id,director,producer,actor_1,actor_2,actor_3
8487,Barry Sonnenfeld,Jon Peters,Will Smith,Kevin Kline,Kenneth Branagh
1735,Rob Cohen,Stephen Sommers,Brendan Fraser,Jet Li,John Hannah
297761,David Ayer,Charles Roven,Will Smith,Margot Robbie,Joel Kinnaman
2698,Tom Shadyac,Tom Shadyac,Steve Carell,Lauren Graham,John Goodman
137113,Doug Liman,Jason Hoffs,Tom Cruise,Emily Blunt,Brendan Gleeson
9804,Kevin Reynolds,Lawrence Gordon,Kevin Costner,Chaim Girafi,Rick Aviles
14869,Stephen Sommers,Bob Ducsay,Dennis Quaid,Channing Tatum,Marlon Wayans
150540,Pete Docter,Jonas Rivera,Amy Poehler,Phyllis Smith,Richard Kind
278927,Jon Favreau,Jon Favreau,Neel Sethi,Bill Murray,Ben Kingsley
10138,Jon Favreau,Kevin Feige,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle
58595,Rupert Sanders,Sam Mercer,Kristen Stewart,Charlize Theron,Chris Hemsworth
102651,Robert Stromberg,Don Hahn,Angelina Jolie,Elle Fanning,Sharlto Copley
119450,Matt Reeves,Rick Jaffa,Andy Serkis,Jason Clarke,Gary Oldman
79698,Roland Joffé,Paul Breuls,Josh Hartnett,Simone Kessell,Tamsin Egerton
64686,Carl Rinsch,Eric McLeod,Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki
100402,Anthony Russo,Kevin Feige,Chris Evans,Samuel L. Jackson,Scarlett Johansson
10192,Mike Mitchell,NA,Mike Myers,Eddie Murphy,Cameron Diaz
158852,Brad Bird,Brad Bird,Britt Robertson,George Clooney,Raffey Cassidy
177572,Chris Williams,Roy Conli,Scott Adsit,Ryan Potter,Daniel Henney
82690,Rich Moore,Clark Spencer,John C. Reilly,Sarah Silverman,Jack McBrayer
5255,Robert Zemeckis,Robert Zemeckis,Tom Hanks,Michael Jeter,Nona Gaye
47933,Roland Emmerich,Harald Kloser,Liam Hemsworth,Jeff Goldblum,Bill Pullman
10191,Chris Sanders,Bonnie Arnold,Jay Baruchel,Gerard Butler,Craig Ferguson
296,Jonathan Mostow,Mario Kassar,Arnold Schwarzenegger,Nick Stahl,Claire Danes
118340,James Gunn,Kevin Feige,Chris Pratt,Zoe Saldana,Dave Bautista
157336,Christopher Nolan,Christopher Nolan,Matthew McConaughey,Jessica Chastain,Anne Hathaway
27205,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page
315011,Hideaki Anno,Kazutoshi Wadakura,Hiroki Hasegawa,Yutaka Takenouchi,Satomi Ishihara
49051,Peter Jackson,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage
9799,Rob Cohen,Neal H. Moritz,Paul Walker,Vin Diesel,Michelle Rodriguez
4922,David Fincher,Kathleen Kennedy,Cate Blanchett,Brad Pitt,Tilda Swinton
49538,Matthew Vaughn,Lauren Shuler Donner,James McAvoy,Michael Fassbender,Jennifer Lawrence
131634,Francis Lawrence,Jon Kilik,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth
27022,Jon Turteltaub,NA,Nicolas Cage,Jay Baruchel,Monica Bellucci
503,Wolfgang Petersen,Wolfgang Petersen,Kurt Russell,Richard Dreyfuss,Josh Lucas
241259,James Bobin,Tim Burton,Johnny Depp,Mia Wasikowska,Anne Hathaway
810,Chris Miller,Aron Warner,Mike Myers,Eddie Murphy,Cameron Diaz
68735,Duncan Jones,Charles Roven,Paula Patton,Travis Fimmel,Ben Foster
87101,Alan Taylor,Dana Goldberg,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke
10140,Michael Apted,Mark Johnson,Skandar Keynes,Georgie Henley,Simon Pegg
676,Michael Bay,Jerry Bruckheimer,Ben Affleck,Josh Hartnett,Kate Beckinsale
1858,Michael Bay,Don Murphy,Shia LaBeouf,Josh Duhamel,Megan Fox
1966,Oliver Stone,Oliver Stone,Colin Farrell,Angelina Jolie,Val Kilmer
675,David Yates,David Heyman,Daniel Radcliffe,Rupert Grint,Emma Watson
674,Mike Newell,David Heyman,Daniel Radcliffe,Rupert Grint,Emma Watson
8960,Peter Berg,Michael Mann,Will Smith,Charlize Theron,Jason Bateman
6479,Francis Lawrence,Akiva Goldsman,Will Smith,Alice Braga,Charlie Tahan
118,Tim Burton,Richard D. Zanuck,Johnny Depp,Freddie Highmore,David Kelly
2062,Brad Bird,Brad Lewis,Patton Oswalt,Ian Holm,Lou Romano
272,Christopher Nolan,Charles Roven,Christian Bale,Michael Caine,Liam Neeson
10527,Eric Darnell,NA,Ben Stiller,Jada Pinkett Smith,David Schwimmer
18360,Shawn Levy,Chris Columbus,Ben Stiller,Amy Adams,Owen Wilson
2080,Gavin Hood,Hugh Jackman,Hugh Jackman,Liev Schreiber,Danny Huston
605,Lilly Wachowski,Joel Silver,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
109445,Chris Buck,Peter Del Vecho,Kristen Bell,Idina Menzel,Jonathan Groff
604,Lilly Wachowski,Joel Silver,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne
76338,Alan Taylor,Kevin Feige,Chris Hemsworth,Natalie Portman,Tom Hiddleston
76341,George Miller,Doug Mitchell,Tom Hardy,Charlize Theron,Nicholas Hoult
13448,Ron Howard,Brian Grazer,Tom Hanks,Ewan McGregor,Ayelet Zurer
10195,Kenneth Branagh,Kevin Feige,Chris Hemsworth,Natalie Portman,Tom Hiddleston
13053,Chris Williams,Clark Spencer,John Travolta,Miley Cyrus,Susie Essman
19585,Hoyt Yeatman,NA,Sam Rockwell,Penélope Cruz,Tracy Morgan
57165,Jonathan Liebesman,Basil Iwanyk,Sam Worthington,Liam Neeson,Ralph Fiennes
62213,Tim Burton,Johnny Depp,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter
177677,Christopher McQuarrie,Tom Cruise,Tom Cruise,Rebecca Ferguson,Simon Pegg
7978,Joe Johnston,Benicio del Toro,Benicio del Toro,Anthony Hopkins,Emily Blunt
5559,Steve Hickner,Jerry Seinfeld,Jerry Seinfeld,Renée Zellweger,Jim Cummings
49444,Jennifer Yuh Nelson,Melissa Cobb,Jack Black,Angelina Jolie,Dustin Hoffman
10196,M. Night Shyamalan,NA,Noah Ringer,Nicola Peltz,Jackson Rathbone
956,J.J. Abrams,Tom Cruise,Tom Cruise,Philip Seymour Hoffman,Ving Rhames
117251,Roland Emmerich,Larry J. Franco,Channing Tatum,Jamie Foxx,Joey King
50321,Simon Wells,NA,Seth Green,Joan Cusack,Dan Fogler
11619,David Bowers,Peter Lord,Hugh Jackman,Kate Winslet,Ian McKellen
266647,Joe Wright,Paul Webster,Levi Miller,Garrett Hedlund,Hugh Jackman
82703,Rob Minkoff,NA,Ty Burrell,Max Charles,Ariel Winter
652,Wolfgang Petersen,Colin Wilson,Brad Pitt,Orlando Bloom,Eric Bana
80321,Conrad Vernon,Mark Swift,Ben Stiller,Sacha Baron Cohen,David Schwimmer
36669,Lee Tamahori,Barbara Broccoli,Pierce Brosnan,Halle Berry,Rosamund Pike
43074,Paul Feig,Ivan Reitman,Melissa McCarthy,Kristen Wiig,Kate McKinnon
95,Michael Bay,Jerry Bruckheimer,Bruce Willis,Billy Bob Thornton,Ben Affleck
608,Barry Sonnenfeld,Walter F. Parkes,Tommy Lee Jones,Will Smith,Rip Torn
2310,Robert Zemeckis,Robert Zemeckis,Ray Winstone,Angelina Jolie,Anthony Hopkins
140300,Jennifer Yuh Nelson,Melissa Cobb,Jack Black,Bryan Cranston,Dustin Hoffman
56292,Brad Bird,Tom Cruise,Tom Cruise,Jeremy Renner,Simon Pegg
81188,Peter Ramsey,Christina Steinberg,Chris Pine,Alec Baldwin,Jude Law
7552,Dean Parisot,Jim Carrey,Jim Carrey,Téa Leoni,Alec Baldwin
616,Edward Zwick,Tom Cruise,Tom Cruise,Ken Watanabe,William Atherton
147441,Ridley Scott,Ridley Scott,Christian Bale,Joel Edgerton,John Turturro
13475,J.J. Abrams,J.J. Abrams,Chris Pine,Zachary Quinto,Leonard Nimoy
557,Sam Raimi,Stan Lee,Tobey Maguire,Willem Dafoe,Kirsten Dunst
82702,Dean DeBlois,Bonnie Arnold,Jay Baruchel,Gerard Butler,Kristen Wiig
205584,Alex Proyas,Alex Proyas,Brenton Thwaites,Nikolaj Coster-Waldau,Gerard Butler
10048,Rob Cohen,Laura Ziskin,Josh Lucas,Jessica Biel,Jamie Foxx
13183,Zack Snyder,Lawrence Gordon,Malin Åkerman,Billy Crudup,Carla Gugino
944,Richard Donner,Joel Silver,Mel Gibson,Danny Glover,Joe Pesci
1927,Ang Lee,Larry J. Franco,Eric Bana,Jennifer Connelly,Sam Elliott
72559,Jon M. Chu,Lorenzo di Bonaventura,Dwayne Johnson,D.J. Cotrona,Adrianne Palicki
7364,Breck Eisner,Stephanie Austin,Matthew McConaughey,Penélope Cruz,Steve Zahn
2114,Hironobu Sakaguchi,Jun Aida,Donald Sutherland,Ming-Na Wen,Alec Baldwin
1771,Joe Johnston,Kevin Feige,Chris Evans,Hugo Weaving,Tommy Lee Jones
36643,Michael Apted,Barbara Broccoli,Pierce Brosnan,Sophie Marceau,Robert Carlyle
8619,Peter Weir,Peter Weir,Russell Crowe,Paul Bettany,James D'Arcy
50620,Bill Condon,Wyck Godfrey,Kristen Stewart,Robert Pattinson,Taylor Lautner
65759,George Miller,Doug Mitchell,Elijah Wood,Robin Williams,Pink
1724,Louis Leterrier,Gale Anne Hurd,Edward Norton,Liv Tyler,Tim Roth
267935,Steven Spielberg,Sam Mercer,Ruby Barnhill,Mark Rylance,Rebecca Hall
281957,Alejandro González Iñárritu,Steve Golin,Leonardo DiCaprio,Tom Hardy,Will Poulter
77950,David Soren,Lisa Stewart,Ryan Reynolds,Paul Giamatti,Michael Peña
44896,Gore Verbinski,Gore Verbinski,Johnny Depp,Isla Fisher,Ned Beatty
270946,Eric Darnell,NA,Tom McGrath,Chris Miller,Christopher Knights
2503,Paul Greengrass,Frank Marshall,Matt Damon,Julia Stiles,David Strathairn
9502,Mark Osborne,NA,Jack Black,Dustin Hoffman,Angelina Jolie
102899,Peyton Reed,Kevin Feige,Paul Rudd,Michael Douglas,Evangeline Lilly
101299,Francis Lawrence,Jon Kilik,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth
228161,Tim Johnson,Mireille Soria,Jim Parsons,Rihanna,Steve Martin
74,Steven Spielberg,Kathleen Kennedy,Tom Cruise,Dakota Fanning,Miranda Otto
8961,Michael Bay,Jerry Bruckheimer,Martin Lawrence,Will Smith,Jordi Mollà
417859,Chris Miller,Latifa Ouaou,Antonio Banderas,Salma Hayek,Zach Galifianakis
27576,Phillip Noyce,Lorenzo di Bonaventura,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor
86834,Darren Aronofsky,Arnon Milchan,Russell Crowe,Jennifer Connelly,Emma Watson
17578,Steven Spielberg,Peter Jackson,Jamie Bell,Andy Serkis,Daniel Craig
673,Alfonso Cuarón,David Heyman,Daniel Radcliffe,Rupert Grint,Emma Watson
6972,Baz Luhrmann,Baz Luhrmann,Nicole Kidman,Hugh Jackman,Essie Davis
82700,M. Night Shyamalan,Will Smith,Jaden Smith,Will Smith,Sophie Okonedo
10567,Ralph Zondag,Pam Marsden,D. B. Sweeney,Alfre Woodard,Ossie Davis
181533,Shawn Levy,Chris Columbus,Ben Stiller,Rami Malek,Rebel Wilson
38055,Tom McGrath,Lara Breay,Will Ferrell,Brad Pitt,Tina Fey
671,Chris Columbus,David Heyman,Daniel Radcliffe,Rupert Grint,Emma Watson
49524,Robert Schwentke,Michael Fottrell,Jeff Bridges,Ryan Reynolds,Kevin Bacon
22,Gore Verbinski,Jerry Bruckheimer,Johnny Depp,Geoffrey Rush,Orlando Bloom
131631,Francis Lawrence,Jon Kilik,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth
591,Ron Howard,Brian Grazer,Tom Hanks,Audrey Tautou,Ian McKellen
172385,Carlos Saldanha,John C. Donkin,Jesse Eisenberg,Anne Hathaway,Leslie Mann
36658,Bryan Singer,Ralph Winter,Patrick Stewart,Hugh Jackman,Ian McKellen
51497,Justin Lin,Michael Fottrell,Vin Diesel,Paul Walker,Jordana Brewster
58574,Guy Ritchie,Joel Silver,Robert Downey Jr.,Jude Law,Jared Harris
18823,Louis Leterrier,Basil Iwanyk,Sam Worthington,Liam Neeson,Ralph Fiennes
861,Paul Verhoeven,Ronald Shusett,Arnold Schwarzenegger,Sharon Stone,Rachel Ticotin
1911,John McTiernan,John McTiernan,Antonio Banderas,Vladimir Kulich,Dennis Storhøi
49040,Tony Gilroy,Frank Marshall,Jeremy Renner,Rachel Weisz,Edward Norton
415,Joel Schumacher,Peter Macgregor-Scott,George Clooney,Chris O'Donnell,Arnold Schwarzenegger
8871,Ron Howard,Brian Grazer,Jim Carrey,Taylor Momsen,Jeffrey Tambor
435,Roland Emmerich,Roland Emmerich,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum
955,John Woo,Tom Cruise,Tom Cruise,Dougray Scott,Thandie Newton
2133,Wolfgang Petersen,Wolfgang Petersen,George Clooney,Mark Wahlberg,Diane Lane
